tabla_evento;columna;valor;descripcion;nota
s__general__zendesk_tickets_events__event;field_name;assignee_id;Cambios de campo (Zendesk ticket);
s__general__zendesk_tickets_events__event;field_name;group_id;Cambios de campo (Zendesk ticket);
s__general__zendesk_tickets_events__event;field_name;satisfaction_score;Cambios de campo (Zendesk ticket);
s__general__zendesk_tickets_events__event;field_name;sla;Cambios de campo (Zendesk ticket);
s__general__zendesk_tickets_events__event;field_name;status;Cambios de campo (Zendesk ticket);
s__general__zendesk_interactions__event;interaction_type;in;Tipo de interacción (hilo);
s__general__zendesk_interactions__event;interaction_type;out;Tipo de interacción (hilo);
s__general__zendesk_interactions__event;source;Chat;Origen de la interacción;
s__general__zendesk_interactions__event;source;Comment;Origen de la interacción;
s__general__zendesk_interactions__event;source;VoiceComment;Origen de la interacción;
s__general__zendesk_assignment__event;assignment_type;Not Informed;Tipo de asignación;
s__general__zendesk_assignment__event;assignment_type;admin;Tipo de asignación;
s__general__zendesk_assignment__event;assignment_type;agent;Tipo de asignación;
s__general__zendesk_assignment__event;assignment_type;end-user;Tipo de asignación;
s__general__zendesk_ticket_nature__event;general_nature;Downtime;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Duda/Dúvida;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Duda/Dúvida Auto;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Duda/Dúvida Investigativa;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Issue;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Problem/Feedback;Naturaleza (IQS);
s__general__zendesk_ticket_nature__event;general_nature;Request;Naturaleza (IQS);
s__general__zendesk_ticket_topics__event;main_topic_normalized;Account;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Api Br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Apps;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Assinaturas;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Avaliação Csat;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Bacooffice-br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Billing;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Calificacion Csat;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Calificacion Csat Lt;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Chat Nube;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Checkout;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Closed By Merge-ar;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Closed By Merge-br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Consultas Finance Br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Consumers;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Customers;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Domains;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Envio Nube;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Envío Nube;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Fraude;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Marketing;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Marketing Nube;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Merchants;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Mobile App;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Nuvem Chat;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Nuvem Envio;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Nuvem Marketing;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Nuvem Pago;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Nuvempago;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Onboarding;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Onboardingbr;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Online;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Orders;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Others;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Pago Nube;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Partners;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Payments;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Product;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Products;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Products:: Other Products Apps:: Dijital - Infoproductos;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Redes Sociales;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Report;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Reports;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Risco-br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Shipping;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Social;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Suscripciones;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Test Lt;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Test-ar;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Teste;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Ts-ar;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Ts-br;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Tópicos Especiais;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;main_topic_normalized;Tópicos Especiales;Tópico principal normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; 18  Storydots ;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Abejita - Barra De Anuncios;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Abejita - Barra De Anuncios Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Acompanhamento Do Link;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Agregar Nube;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; General;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Sunset Pagseguro;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized; Vhsys;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;2fa;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;3 Cliques;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;3 Cliques By Dropi;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;365 Artes;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;99 Minutos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abas Pró;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abaspro;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita  Barra De Anúncio;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita  Contador Regressivo;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita  Cupom Pop Up E Desconto;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita - Cupón Y Descuento Popup;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita - Cupón Y Descuento Popup Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita - Temporizador Regresivo;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita 18 ;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abejita Reseñas De Google;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abonar Etiqueta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abonar Etiqueta Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abonar Etiquetas-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Abrir Ftp;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acareação;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acareação-comprovante De Recebimento;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acceso Tienda Partners;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acciones Masivas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acciones Masivas Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acciones Sobre Listas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acciones Sobre Listas Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Account;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acessar Loja Via Portal;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acesso Mova;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago - Débito Auto;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago - Débito Auto Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago - Mercado Pago;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago - Mercado Pago Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación De Pago - Transferencia;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación Rescate;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Acreditación Rescate Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación - Desactivación;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Ciclo De Vida;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Colecta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Colecta Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Automation;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Automation Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Formulario Con Código;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Formulario Sin Código;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Tiendanube;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación De Tiendanube Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Del Chat;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Del Chat Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Pdv;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Ssl;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Ssl Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación Y Contraseñas C2;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activación-desactivación;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar 2fa Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar 2fa-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar D1;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar Multi Cd;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar Multi Cd Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activar O Desactivar 2fa-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Active Campaign;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activecampaign By Klinko;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activecampaing By Kampana Hub;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Activecampaing By Klinko;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actividad De Automation;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actividad De Contacto;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actividad De Contacto Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actualización De Estado De La Orden;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actualización De Estado De La Orden Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actualización De La Información De La Orden;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Actualización De La Información De La Orden Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Ada;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Addi;Subtópico normalizado;
